trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
417,77.0,2005.9568082866658,53.0,2057.4198381128117
418,82.0,1933.5438539260963,53.0,2150.1402904445004
419,79.0,2044.266828421803,55.0,2138.796031735724
420,72.0,2032.6345835120544,63.0,2108.0862670225797
421,78.0,1910.8078683661074,54.0,2085.25945061934
422,82.0,2034.6350201581147,58.0,2033.702659336922
423,77.0,2104.286389121526,45.0,2070.835781112823
424,78.0,2029.724278551179,66.0,2069.6225095536247
425,84.0,1954.8510548728216,66.0,2227.9862602890257
426,66.0,2025.0068945030762,53.0,2051.635711175706
427,61.0,2028.9917224556436,55.0,1995.0493036850723
428,65.0,1878.2873363124133,60.0,2103.403655142147
429,73.0,2003.6907029561933,60.0,2132.0022036688392
430,79.0,2037.550699301311,49.0,2113.409549522939
431,67.0,2026.5952104534858,56.0,2125.3558322186905
432,59.0,1979.5243793443008,56.0,2106.5688942715933
433,74.0,1993.5941297274946,58.0,2142.9067206288173
434,80.0,1970.6360136660062,53.0,2059.2805294795294
435,82.0,2175.877217332918,59.0,2090.9063683918216
436,90.0,1977.3345154916926,55.0,2127.783070236314
437,73.0,2001.1021685792364,54.0,2146.404236803588
438,80.0,1930.7099209789617,57.0,2141.6779711990966
439,65.0,2012.5111052923123,54.0,2115.7248104184664
440,77.0,2001.4389383435584,62.0,2225.4631595148653
441,70.0,1900.012385471596,49.0,2061.05430351301
442,77.0,2143.4167758037597,59.0,2178.2818116910207
443,72.0,2050.271067439465,53.0,2096.4544083521714
444,79.0,2148.9714856274973,50.0,1958.88385211936
445,80.0,2043.138135504558,40.0,2007.289136926104
446,75.0,2045.8975352626187,65.0,2151.4742648395786
447,66.0,1970.2933495636114,53.0,2046.1436569600182
448,65.0,2061.9672337527722,62.0,2079.9638171738575
449,66.0,1891.971979270314,67.0,2073.947407737218
450,82.0,2036.2972788292618,68.0,2195.0020157893177
451,80.0,2099.837407455851,53.0,2056.839205567466
452,69.0,1884.3183522585941,57.0,2257.6519593681787
453,50.0,1959.9013526862946,54.0,2066.8533542562964
454,78.0,2120.168374873716,60.0,2111.9249833859203
455,91.0,2250.9461399902502,69.0,2199.740313337394
456,60.0,1930.8390474051305,59.0,2318.568492781496
457,65.0,1992.5121144162326,62.0,2053.1154551088844
458,58.0,1968.5672399219352,50.0,2051.5980264709065
459,85.0,2036.9389586304947,53.0,2162.0188171680093
460,60.0,1944.174548262663,58.0,1996.2845006790126
461,83.0,2053.9466395979553,65.0,2346.8034935485607
462,78.0,2043.9378541828748,63.0,2075.1687961658677
463,87.0,1922.2142240108378,44.0,2049.267432537332
464,57.0,1981.267936740491,50.0,2010.0859570802402
465,90.0,2378.988655111857,52.0,2082.8411692371396
466,73.0,1948.9278949401976,49.0,1978.7268830475336
467,80.0,1923.1240450410558,57.0,2047.681897869469
468,82.0,2048.8723618649165,59.0,2115.757438078247
469,82.0,2013.7638816964666,44.0,2073.0360119888783
470,71.0,2023.9569953405087,57.0,2054.4440476150235
471,66.0,1974.0952739856832,65.0,2130.1925116478424
472,83.0,2070.4835475711952,56.0,2059.542986281347
473,79.0,1912.2339352109034,72.0,2251.2923077854903
474,75.0,2082.261510401105,54.0,2172.0766621224343
475,60.0,1873.1244117589122,66.0,2107.4251523046087
476,74.0,2091.608933794364,61.0,2215.971099876173
477,75.0,1947.6660509862136,39.0,2026.8872883451727
478,67.0,1859.2698971778198,54.0,2154.8013047540817
479,77.0,1999.6590440141601,50.0,2136.4236855635404
480,70.0,2053.12565350857,58.0,2195.553215867427
481,71.0,1918.4184934361358,63.0,2069.92678644134
482,77.0,2117.744915728392,34.0,1913.5521487860342
483,78.0,2101.998497520108,65.0,2054.1468413703
