trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
129,85.0,2059.3045341501224,56.0,2137.0864755607668
130,76.0,1953.5053642473074,57.0,2305.9177303374145
131,64.0,1970.0090152159166,58.0,2197.200887230052
132,70.0,2100.893206143576,51.0,2007.9018411125926
133,78.0,2099.328419908971,60.0,2255.9604031622866
134,81.0,1972.5698466909862,53.0,2043.5337443754838
135,74.0,1927.7507916160025,59.0,2160.376173363142
136,80.0,2082.3603213957026,66.0,2114.370582908455
137,77.0,1894.7273231048166,52.0,2085.681162097591
138,84.0,2060.394609424115,64.0,2079.98211230001
139,68.0,2002.4783677486314,66.0,2166.9431136911053
140,83.0,2065.6936454953784,60.0,2107.1055747161035
141,77.0,1976.29948769005,50.0,2049.1230242240176
142,92.0,2004.147624746052,63.0,2198.453412554356
143,77.0,1989.6718434166903,56.0,2024.266929823027
144,67.0,1987.9891784734675,53.0,2008.8954989468768
145,60.0,1989.9573290069122,59.0,2138.81658421771
146,74.0,1961.5272523643553,47.0,1999.4535653426199
147,82.0,2156.970593516159,56.0,1987.6289338797337
148,75.0,1935.772187300199,63.0,2142.8575562417373
149,72.0,2074.8017820398104,57.0,2146.345015775632
150,73.0,2033.0761080496338,61.0,2277.0090470940117
151,82.0,2024.2129752040992,61.0,2111.697623570223
152,76.0,1968.3918864463246,67.0,2225.056512536564
153,79.0,2049.512336440247,56.0,2129.398111813514
154,78.0,2155.667787926068,59.0,2086.242720550961
155,72.0,1963.5072611895744,52.0,2079.2064518845295
156,70.0,1905.4366978033179,60.0,2167.133629125881
157,84.0,1998.6741175805594,47.0,2032.1907701760101
158,68.0,1982.8995779092863,51.0,2070.531871485737
159,86.0,2124.3740053886904,49.0,2062.2496745884932
160,65.0,1875.0658271084799,66.0,2093.0188577497584
161,78.0,1901.4022509532483,54.0,2123.4143492851513
162,83.0,2094.5569221415612,51.0,2023.2581509466731
163,82.0,2074.03273680683,56.0,2129.6727870621335
164,65.0,1962.065989866348,53.0,2113.0295104917277
165,58.0,1864.9737808075065,46.0,2123.2677259643992
166,70.0,2029.5344731672521,52.0,2119.073499134068
167,92.0,2117.9464329649413,49.0,2099.6492906661783
168,84.0,2235.304668781736,51.0,2119.983875411369
169,62.0,2020.649222360522,56.0,2233.9106285324265
170,77.0,2002.7390617551546,55.0,2164.3871031638087
171,83.0,2067.336360154522,56.0,2079.203344348816
172,79.0,2162.105517227692,52.0,2069.8662161393627
173,63.0,1959.8214227927972,43.0,1961.6406820134725
174,75.0,2231.474248956067,48.0,2099.6053625729633
175,86.0,2127.9325664767885,52.0,2084.7581200296813
176,67.0,1887.9347875382753,44.0,1974.9645309322348
177,67.0,2182.4272089228825,52.0,2129.347302085396
178,78.0,2131.314673810852,55.0,2182.7205347258355
179,85.0,1970.1591480583427,57.0,2085.922567748046
180,66.0,2002.8955846057324,54.0,2017.4473396096048
181,67.0,1928.227714762526,59.0,2129.826166550041
182,58.0,1987.9884268147744,64.0,2152.2335900025155
